K,Random_Guess_Baseline,Method,Accuracy,Accuracy_95CI_Lo,Accuracy_95CI_Hi,ECE,ECE_95CI_Lo,ECE_95CI_Hi,FR_top1,FR_top1_95CI_Lo,FR_top1_95CI_Hi,CrossCanonicalFlip,CrossCanonicalFlip_95CI_Lo,CrossCanonicalFlip_95CI_Hi,Kendall_Dist,Top3_Churn,Mean_Logit_Variance,Latency_p50_ms,Latency_p95_ms,Adjusted_p_value,Significant_vs_B0
5,0.2,B0_Native,0.925,0.875,0.9667,0.1467,0.1193,0.2046,0.0,0.0,0.0,,,,0.0,0.0,8.4023,45.34,59.84,1.0,False
5,0.2,B0_Random,0.925,0.875,0.9667,0.1598,0.1214,0.2151,0.057,0.0328,0.0861,,,,0.0896,0.176,8.4023,45.34,59.84,1.0,False
5,0.2,B1_Alpha,0.9083,0.8583,0.9583,0.1312,0.105,0.1859,0.0,0.0,0.0,0.0333,0.0083,0.075,0.1192,0.2408,8.4023,45.34,59.84,1.0,False
5,0.2,B1_ReverseAlpha,0.9333,0.8915,0.975,0.1333,0.1056,0.1928,0.0,0.0,0.0,0.0333,0.0083,0.075,0.1192,0.2408,8.4023,45.34,59.84,1.0,False
5,0.2,Rand_Marg_M2,0.925,0.875,0.9667,0.1341,0.1104,0.1929,0.0333,0.0083,0.0667,,,,0.0675,0.1042,8.4023,90.68,119.67,1.0,False
5,0.2,Rand_Marg_M3,0.925,0.875,0.9667,0.1426,0.1152,0.1992,0.0167,0.0,0.0417,,,,0.0683,0.1108,8.4023,136.02,179.52,1.0,False
5,0.2,Rand_Marg_M5,0.925,0.875,0.9667,0.1444,0.1148,0.1997,0.0167,0.0,0.0417,,,,0.0625,0.1317,8.4023,226.69,299.19,1.0,False
5,0.2,B2_Cyclic_M2,0.9083,0.8583,0.9502,0.1295,0.1077,0.1859,0.0417,0.0083,0.0833,,,,0.0492,0.1133,8.4023,90.68,119.67,1.0,False
5,0.2,B2_Cyclic_M3,0.9083,0.8583,0.9583,0.1225,0.1006,0.1785,0.0333,0.0083,0.0667,,,,0.0242,0.0592,8.4023,136.02,179.52,1.0,False
5,0.2,B2_Cyclic_M5,0.9083,0.8583,0.9583,0.1244,0.1033,0.1844,0.0,0.0,0.0,,,,0.0,0.0,8.4023,226.69,299.19,1.0,False
10,0.1,B0_Native,0.875,0.8083,0.9333,0.1037,0.0745,0.169,0.0,0.0,0.0,,,,0.0,0.0,20.4619,60.94,74.05,1.0,False
10,0.1,B0_Random,0.8333,0.7583,0.9,0.1029,0.0739,0.1676,0.0643,0.0378,0.0952,,,,0.0769,0.2601,20.4619,60.94,74.05,0.73509,False
10,0.1,B1_Alpha,0.8667,0.8,0.925,0.1133,0.085,0.1756,0.0,0.0,0.0,0.05,0.0167,0.0917,0.1009,0.2942,20.4619,60.94,74.05,1.0,False
10,0.1,B1_ReverseAlpha,0.8917,0.8333,0.9417,0.0977,0.0681,0.1578,0.0,0.0,0.0,0.05,0.0167,0.0917,0.1009,0.2942,20.4619,60.94,74.05,1.0,False
10,0.1,Rand_Marg_M2,0.875,0.8083,0.9333,0.0886,0.0666,0.1522,0.025,0.0,0.0583,,,,0.0739,0.2458,20.4619,121.88,148.1,1.0,False
10,0.1,Rand_Marg_M3,0.875,0.8083,0.9333,0.0868,0.066,0.1529,0.025,0.0,0.0583,,,,0.0715,0.2283,20.4619,182.81,222.15,1.0,False
10,0.1,Rand_Marg_M5,0.8833,0.8167,0.9333,0.105,0.0753,0.1621,0.0333,0.0083,0.0667,,,,0.0689,0.1958,20.4619,304.69,370.26,1.0,False
10,0.1,B2_Cyclic_M2,0.8833,0.8167,0.9333,0.1191,0.0852,0.1781,0.0333,0.0083,0.075,,,,0.0567,0.1975,20.4619,121.88,148.1,1.0,False
10,0.1,B2_Cyclic_M3,0.875,0.8083,0.9333,0.1216,0.0816,0.1796,0.0083,0.0,0.0333,,,,0.0476,0.1783,20.4619,182.81,222.15,1.0,False
10,0.1,B2_Cyclic_M5,0.875,0.8167,0.9333,0.1124,0.0838,0.176,0.0083,0.0,0.025,,,,0.0361,0.13,20.4619,304.69,370.26,1.0,False
20,0.05,B0_Native,0.7667,0.6917,0.8417,0.1908,0.136,0.2647,0.0,0.0,0.0,,,,0.0,0.0,22.0741,97.37,148.24,1.0,False
20,0.05,B0_Random,0.8167,0.7417,0.8917,0.1532,0.0996,0.2202,0.1202,0.0818,0.1591,,,,0.0305,0.2371,22.0741,97.37,148.24,0.49219,False
20,0.05,B1_Alpha,0.7917,0.7167,0.8583,0.1623,0.1165,0.2456,0.0,0.0,0.0,0.1167,0.0583,0.175,0.0359,0.2542,22.0741,97.37,148.24,1.0,False
20,0.05,B1_ReverseAlpha,0.8,0.725,0.8667,0.1539,0.1049,0.2292,0.0,0.0,0.0,0.1167,0.0583,0.175,0.0359,0.2542,22.0741,97.37,148.24,1.0,False
20,0.05,Rand_Marg_M2,0.8,0.7333,0.8669,0.1336,0.093,0.1973,0.0833,0.0333,0.1335,,,,0.0329,0.2167,22.0741,194.73,296.49,1.0,False
20,0.05,Rand_Marg_M3,0.8083,0.7333,0.875,0.1007,0.0728,0.1736,0.0583,0.0167,0.1083,,,,0.0369,0.2408,22.0741,292.09,444.73,0.84961,False
20,0.05,Rand_Marg_M5,0.8167,0.75,0.8833,0.1132,0.078,0.1806,0.0417,0.0083,0.0833,,,,0.0382,0.2392,22.0741,486.82,741.21,0.49219,False
20,0.05,B2_Cyclic_M2,0.7917,0.7167,0.8667,0.127,0.0985,0.21,0.0833,0.0333,0.1333,,,,0.0336,0.2308,22.0741,194.73,296.49,1.0,False
20,0.05,B2_Cyclic_M3,0.7917,0.7167,0.8667,0.1211,0.0812,0.1885,0.0667,0.025,0.1167,,,,0.0254,0.2075,22.0741,292.09,444.73,1.0,False
20,0.05,B2_Cyclic_M5,0.7917,0.7167,0.8667,0.107,0.0808,0.1876,0.0333,0.0083,0.0667,,,,0.0224,0.16,22.0741,486.82,741.21,1.0,False
40,0.025,B0_Native,0.6167,0.5333,0.7,0.265,0.2138,0.3617,0.0,0.0,0.0,,,,0.0,0.0,36.1314,146.07,181.17,1.0,False
40,0.025,B0_Random,0.65,0.5583,0.7333,0.2673,0.2129,0.3621,0.2209,0.1793,0.2685,,,,0.0494,0.3782,36.1314,146.07,181.17,1.0,False
40,0.025,B1_Alpha,0.6917,0.6083,0.775,0.2122,0.1608,0.3005,0.0,0.0,0.0,0.1667,0.1083,0.2333,0.0415,0.3467,36.1314,146.07,181.17,0.49219,False
40,0.025,B1_ReverseAlpha,0.725,0.6417,0.8083,0.2319,0.1733,0.3138,0.0,0.0,0.0,0.1667,0.1083,0.2333,0.0415,0.3467,36.1314,146.07,181.17,0.09956,False
40,0.025,Rand_Marg_M2,0.7,0.6167,0.775,0.1746,0.1346,0.267,0.1833,0.1167,0.2583,,,,0.0628,0.3817,36.1314,292.15,362.33,0.26608,False
40,0.025,Rand_Marg_M3,0.7,0.6083,0.7833,0.1741,0.139,0.2646,0.1417,0.0833,0.2167,,,,0.0717,0.4092,36.1314,438.23,543.49,0.23438,False
