K,Method,Accuracy,Accuracy_CI_low,Accuracy_CI_high,ECE,ECE_CI_low,ECE_CI_high,Instability,Instability_CI_low,Instability_CI_high,Kendall,Top3_Churn,p50_latency_ms,p95_latency_ms,adjusted_p,effect_size,pareto_status
5,B0_Native,0.925,0.875,0.9667,0.1467,0.1725,0.2483,0.0,0.0,0.0,0.0,0.0,45.34,59.84,1.0000,+0.0000,PARETO_OPTIMAL
5,B0_Random,0.925,0.875,0.9667,0.1598,0.1712,0.2548,0.057,0.0313,0.0841,0.0896,0.176,45.34,59.84,1.0000,+0.0000,"Dominated by: B0_Native,B1_ReverseAlpha"
5,B1_Alpha,0.9083,0.8583,0.9583,0.1312,0.1631,0.2412,0.0333,0.0083,0.0667,0.1192,0.2408,45.34,59.84,1.0000,-0.0167,"Dominated by: B0_Native,B1_ReverseAlpha"
5,B1_ReverseAlpha,0.9333,0.8915,0.975,0.1333,0.1635,0.2451,0.0333,0.0083,0.0667,0.1192,0.2408,45.34,59.84,1.0000,+0.0083,PARETO_OPTIMAL
5,Rand_Marg_M2,0.925,0.875,0.9667,0.1341,0.1668,0.2473,0.0333,0.0083,0.0667,0.0675,0.1042,90.68,119.68,1.0000,+0.0000,"Dominated by: B0_Native,B1_ReverseAlpha"
5,Rand_Marg_M3,0.925,0.875,0.9667,0.1426,0.1703,0.2472,0.0167,0.0,0.0417,0.0683,0.1108,136.02,179.51,1.0000,+0.0000,Dominated by: B0_Native
5,Rand_Marg_M5,0.925,0.875,0.9667,0.1444,0.1707,0.2493,0.0167,0.0,0.0417,0.0625,0.1317,226.7,299.19,1.0000,+0.0000,"Dominated by: B0_Native,Rand_Marg_M3"
5,B2_Cyclic_M2,0.9083,0.8583,0.9583,0.1295,0.1691,0.2437,0.0417,0.0167,0.075,0.0492,0.1133,90.68,119.68,1.0000,-0.0167,"Dominated by: B0_Native,B1_Alpha,B1_ReverseAlpha,Rand_Marg_M2"
5,B2_Cyclic_M3,0.9083,0.85,0.9583,0.1225,0.1647,0.2396,0.0333,0.0083,0.0667,0.0242,0.0592,136.02,179.51,1.0000,-0.0167,"Dominated by: B0_Native,B1_Alpha,B1_ReverseAlpha,Rand_Marg_M2,Rand_Marg_M3"
5,B2_Cyclic_M5,0.9083,0.85,0.9583,0.1244,0.1669,0.2435,0.0,0.0,0.0,0.0,0.0,226.7,299.19,1.0000,-0.0167,Dominated by: B0_Native
10,B0_Native,0.875,0.8167,0.9333,0.1037,0.1368,0.2326,0.0,0.0,0.0,0.0,0.0,60.94,74.05,1.0000,+0.0000,PARETO_OPTIMAL
