Query_ID,Original_Dataset_Index,K,Candidate_Set_Hash,Method,Correct,Confidence,FR_top1,Kendall_Dist,Top3_Churn,Latency_ms
0,2843,5,381ba564aba8,B0_Native,1.0,0.9803,0.0,0.0,0.0,42.87
0,2843,5,381ba564aba8,B0_Random,1.0,0.9974,0.0,0.0867,0.3,42.87
0,2843,5,381ba564aba8,B1_Alpha,1.0,0.9606,0.0,0.3,0.5,42.87
0,2843,5,381ba564aba8,B1_ReverseAlpha,1.0,0.9974,0.0,0.3,0.5,42.87
0,2843,5,381ba564aba8,Rand_Marg_M2,1.0,0.9979,0.0,0.1,0.5,85.75
0,2843,5,381ba564aba8,Rand_Marg_M3,1.0,0.9983,0.0,0.1,0.5,128.62
0,2843,5,381ba564aba8,Rand_Marg_M5,1.0,0.9985,0.0,0.1,0.5,214.37
0,2843,5,381ba564aba8,B2_Cyclic_M2,1.0,0.9895,0.0,0.0,0.0,85.75
0,2843,5,381ba564aba8,B2_Cyclic_M3,1.0,0.9925,0.0,0.0,0.0,128.62
0,2843,5,381ba564aba8,B2_Cyclic_M5,1.0,0.9947,0.0,0.0,0.0,214.37
1,480,5,7a795179d711,B0_Native,1.0,0.9454,0.0,0.0,0.0,42.24
1,480,5,7a795179d711,B0_Random,1.0,0.8952,0.0,0.0889,0.0,42.24
1,480,5,7a795179d711,B1_Alpha,1.0,0.875,0.0,0.1,0.0,42.24
1,480,5,7a795179d711,B1_ReverseAlpha,1.0,0.9364,0.0,0.1,0.0,42.24
1,480,5,7a795179d711,Rand_Marg_M2,1.0,0.918,0.0,0.1,0.0,84.48
1,480,5,7a795179d711,Rand_Marg_M3,1.0,0.9164,0.0,0.1,0.0,126.72
1,480,5,7a795179d711,Rand_Marg_M5,1.0,0.9258,0.0,0.1,0.0,211.21
1,480,5,7a795179d711,B2_Cyclic_M2,1.0,0.9543,0.0,0.0,0.0,84.48
1,480,5,7a795179d711,B2_Cyclic_M3,1.0,0.9422,0.0,0.0,0.0,126.72
1,480,5,7a795179d711,B2_Cyclic_M5,1.0,0.9537,0.0,0.0,0.0,211.21
2,2973,5,7d99473b1fcd,B0_Native,1.0,0.9971,0.0,0.0,0.0,40.46
2,2973,5,7d99473b1fcd,B0_Random,1.0,0.9298,0.0,0.1333,0.1,40.46
2,2973,5,7d99473b1fcd,B1_Alpha,1.0,0.9917,0.0,0.2,0.0,40.46
2,2973,5,7d99473b1fcd,B1_ReverseAlpha,1.0,0.8915,0.0,0.2,0.0,40.46
2,2973,5,7d99473b1fcd,Rand_Marg_M2,1.0,0.8548,0.0,0.1,0.0,80.92
2,2973,5,7d99473b1fcd,Rand_Marg_M3,1.0,0.8563,0.0,0.1,0.0,121.38
2,2973,5,7d99473b1fcd,Rand_Marg_M5,1.0,0.8835,0.0,0.1,0.0,202.3
2,2973,5,7d99473b1fcd,B2_Cyclic_M2,1.0,0.9733,0.0,0.1,0.5,80.92
2,2973,5,7d99473b1fcd,B2_Cyclic_M3,1.0,0.926,0.0,0.1,0.5,121.38
2,2973,5,7d99473b1fcd,B2_Cyclic_M5,1.0,0.9368,0.0,0.0,0.0,202.3
3,1453,5,7696d55426f7,B0_Native,1.0,0.8969,0.0,0.0,0.0,39.03
3,1453,5,7696d55426f7,B0_Random,1.0,0.9678,0.0,0.04,0.1,39.03
3,1453,5,7696d55426f7,B1_Alpha,1.0,0.8835,0.0,0.1,0.5,39.03
3,1453,5,7696d55426f7,B1_ReverseAlpha,1.0,0.8793,0.0,0.1,0.5,39.03
3,1453,5,7696d55426f7,Rand_Marg_M2,1.0,0.9219,0.0,0.0,0.0,78.06
3,1453,5,7696d55426f7,Rand_Marg_M3,1.0,0.9154,0.0,0.0,0.0,117.09
3,1453,5,7696d55426f7,Rand_Marg_M5,1.0,0.8962,0.0,0.0,0.0,195.15
3,1453,5,7696d55426f7,B2_Cyclic_M2,1.0,0.8921,0.0,0.1,0.5,78.06
3,1453,5,7696d55426f7,B2_Cyclic_M3,1.0,0.9208,0.0,0.1,0.5,117.09
3,1453,5,7696d55426f7,B2_Cyclic_M5,1.0,0.8935,0.0,0.0,0.0,195.15
4,334,5,efa96b865c67,B0_Native,1.0,0.8342,0.0,0.0,0.0,42.84
4,334,5,efa96b865c67,B0_Random,1.0,0.7895,0.0,0.1556,0.2556,42.84
4,334,5,efa96b865c67,B1_Alpha,1.0,0.8741,0.0,0.1,0.5,42.84
4,334,5,efa96b865c67,B1_ReverseAlpha,1.0,0.8294,0.0,0.1,0.5,42.84
4,334,5,efa96b865c67,Rand_Marg_M2,1.0,0.8095,0.0,0.0,0.0,85.67
4,334,5,efa96b865c67,Rand_Marg_M3,1.0,0.8154,0.0,0.0,0.0,128.51
4,334,5,efa96b865c67,Rand_Marg_M5,1.0,0.7957,0.0,0.0,0.0,214.18
4,334,5,efa96b865c67,B2_Cyclic_M2,1.0,0.8455,0.0,0.1,0.5,85.67
4,334,5,efa96b865c67,B2_Cyclic_M3,1.0,0.8369,0.0,0.0,0.0,128.51
4,334,5,efa96b865c67,B2_Cyclic_M5,1.0,0.8687,0.0,0.0,0.0,214.18
5,2684,5,dcf921be388a,B0_Native,1.0,0.6136,0.0,0.0,0.0,41.3
5,2684,5,dcf921be388a,B0_Random,1.0,0.6351,0.0,0.0,0.0,41.3
5,2684,5,dcf921be388a,B1_Alpha,1.0,0.8028,0.0,0.0,0.0,41.3
5,2684,5,dcf921be388a,B1_ReverseAlpha,1.0,0.7062,0.0,0.0,0.0,41.3
5,2684,5,dcf921be388a,Rand_Marg_M2,1.0,0.6457,0.0,0.0,0.0,82.59
5,2684,5,dcf921be388a,Rand_Marg_M3,1.0,0.679,0.0,0.0,0.0,123.89
5,2684,5,dcf921be388a,Rand_Marg_M5,1.0,0.6762,0.0,0.0,0.0,206.48
5,2684,5,dcf921be388a,B2_Cyclic_M2,1.0,0.7018,0.0,0.0,0.0,82.59
